"match_id","team1","team2","start_date","venue","city","toss_winner","toss_decision","winner","innings_1_total","innings_2_total","daily_temperature_2m_mean","daily_relative_humidity_2m_mean","daily_rain_sum","daily_cloud_cover_mean","daily_sunset","innings_1_over_2_score","innings_1_over_4_score","innings_1_over_6_score","innings_1_over_8_score","innings_1_over_10_score","innings_1_over_12_score","innings_1_over_14_score","innings_1_over_16_score","innings_1_over_18_score","innings_1_over_20_score","innings_2_over_2_score","innings_2_over_4_score","innings_2_over_6_score","innings_2_over_8_score","innings_2_over_10_score","innings_2_over_12_score","innings_2_over_14_score","innings_2_over_16_score","innings_2_over_18_score","innings_2_over_20_score","innings_1_over_2_wickets","innings_1_over_4_wickets","innings_1_over_6_wickets","innings_1_over_8_wickets","innings_1_over_10_wickets","innings_1_over_12_wickets","innings_1_over_14_wickets","innings_1_over_16_wickets","innings_1_over_18_wickets","innings_1_over_20_wickets","innings_2_over_2_wickets","innings_2_over_4_wickets","innings_2_over_6_wickets","innings_2_over_8_wickets","innings_2_over_10_wickets","innings_2_over_12_wickets","innings_2_over_14_wickets","innings_2_over_16_wickets","innings_2_over_18_wickets","innings_2_over_20_wickets","team_1_win"
"287863","New Zealand","Sri Lanka",2007-09-15,"New Wanderers Stadium","Johannesburg","New Zealand","bat","Sri Lanka",164,168,18,49,0,5,"2007-09-15T18:00",11,22,38,59,80,99,112,128,148,164,20,42,60,83,90,102,125,147,162,NA,0,1,2,2,2,4,5,5,5,7,0,0,0,1,1,1,2,2,3,NA,FALSE
"287864","South Africa","Bangladesh",2007-09-15,"Newlands","Cape Town","South Africa","field","South Africa",144,146,12.6,74,0.3,41,"2007-09-15T18:37",24,54,65,78,96,103,108,120,133,144,9,28,42,56,75,91,109,123,135,NA,1,3,4,5,5,6,6,7,8,10,0,0,0,0,1,1,2,2,3,NA,TRUE
"287865","India","New Zealand",2007-09-16,"New Wanderers Stadium","Johannesburg","India","field","New Zealand",190,180,20.4,30,0,9,"2007-09-16T18:01",11,34,48,65,77,89,104,137,164,190,19,47,76,83,96,110,132,145,158,180,1,1,1,1,2,4,5,5,6,10,0,0,1,2,2,3,5,5,8,9,FALSE
"287866","Australia","Bangladesh",2007-09-16,"Newlands","Cape Town","Australia","field","Australia",123,124,13.6,69,0,60,"2007-09-16T18:38",5,18,31,44,63,73,86,103,114,123,15,39,62,75,88,107,124,NA,NA,NA,0,0,0,1,1,2,3,3,6,8,0,0,0,0,0,1,1,NA,NA,NA,TRUE
"287867","South Africa","England",2007-09-16,"Newlands","Cape Town","England","field","South Africa",154,135,13.6,69,0,60,"2007-09-16T18:38",18,32,43,54,68,86,91,104,133,154,7,23,31,42,59,79,93,107,115,135,1,1,3,3,3,3,4,6,6,8,1,1,3,3,3,3,4,5,6,7,TRUE
"287868","Pakistan","Sri Lanka",2007-09-17,"New Wanderers Stadium","Johannesburg","Sri Lanka","field","Pakistan",189,156,18.1,43,0,14,"2007-09-17T18:01",17,24,33,49,69,89,121,147,164,189,6,24,49,80,88,102,113,119,130,156,0,2,3,3,3,3,3,4,5,6,2,2,3,3,3,4,6,7,7,9,TRUE
"287870","Australia","Pakistan",2007-09-18,"New Wanderers Stadium","Johannesburg","Pakistan","field","Pakistan",164,165,18,45,0,14,"2007-09-18T18:02",13,34,58,79,85,99,112,138,156,164,15,31,40,56,75,96,117,138,152,165,1,2,2,2,3,4,4,4,5,7,0,2,3,4,4,4,4,4,4,4,FALSE
"287869","England","New Zealand",2007-09-18,"Kingsmead","Durban","England","field","New Zealand",164,159,19.2,76,0,8,"2007-09-18T17:49",16,26,31,35,60,84,100,134,146,164,14,28,50,62,72,87,106,126,145,159,1,3,4,4,4,4,5,5,8,9,0,0,0,1,1,2,5,5,5,8,FALSE
"287871","Bangladesh","Sri Lanka",2007-09-18,"New Wanderers Stadium","Johannesburg","Bangladesh","field","Sri Lanka",147,83,18,45,0,14,"2007-09-18T18:02",12,26,39,49,61,77,90,103,122,147,19,21,31,39,53,62,71,83,NA,NA,1,1,2,2,3,3,4,5,5,5,1,3,3,4,6,6,8,10,NA,NA,FALSE
"287872","South Africa","New Zealand",2007-09-19,"Kingsmead","Durban","South Africa","field","South Africa",153,158,20.9,72,0,0,"2007-09-19T17:50",7,25,50,67,76,90,97,131,138,153,14,17,31,53,63,79,94,113,142,158,0,0,0,0,3,3,4,4,7,8,0,2,2,3,3,3,3,4,4,4,TRUE
