"match_id","balls_per_over","team1","team2","gender","season","date","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","bowl_out","reserve_umpire","event","match_number","method","eliminator","toss_uncontested"
"1271631","6","Sri Lanka","South Africa","male","2021","2021/09/12","R Premadasa Stadium, Colombo","Colombo","Sri Lanka","bat","T Shamsi","RR Wimalasiri","RSA Palliyaguruge","HDPK Dharmasena","RS Madugalle","South Africa",NA,"9",NA,NA,"RMPJ Rambukwella","South Africa tour of Sri Lanka","2",NA,NA,NA
"1275042","6","Kenya","Nigeria","male","2021","2021/09/13","Entebbe Cricket Oval","Entebbe","Kenya","bat","IA Karim",NA,NA,NA,NA,"Kenya","61",NA,NA,NA,NA,"Uganda T20 Tri-Series","6",NA,NA,NA
"1275047","6","Uganda","Nigeria","male","2021","2021/09/15","Entebbe Cricket Oval","Entebbe","Uganda","bat","JO Adedeji",NA,NA,NA,NA,"Uganda","55",NA,NA,NA,NA,"Uganda T20 Tri-Series","8",NA,NA,NA
"1275045","6","Nigeria","Kenya","male","2021","2021/09/16","Entebbe Cricket Oval","Entebbe","Nigeria","bat","JO Adedeji","E Wandera","Patric Makumbi",NA,NA,"Nigeria","4",NA,NA,NA,NA,"Uganda T20 Tri-Series","9","D/L",NA,NA
"1279379","6","Estonia","Cyprus","male","2021/22","2021/10/05","Happy Valley Ground","Episkopi","Cyprus","field","Tejwinder Singh",NA,NA,NA,NA,"Cyprus",NA,"4",NA,NA,NA,"Estonia tour of Cyprus","1",NA,NA,NA
"1280060","6","United Arab Emirates","Ireland","male","2021/22","2021/10/07","ICC Academy, Dubai","Dubai","United Arab Emirates","bat",NA,"Akbar Ali","Shiju Sam",NA,"WC Labrooy","Ireland",NA,"7",NA,NA,"Iftikhar Ali","Ireland tour of United Arab Emirates","1",NA,NA,NA
"1280058","6","Scotland","Namibia","male","2021/22","2021/10/09","ICC Academy, Dubai","Dubai","Namibia","field","CG Williams","Iftikhar Ali","Shiju Sam",NA,"WC Labrooy","Namibia",NA,"5",NA,NA,"A Louw","Namibia v Scotland T20I Match",NA,NA,NA,NA
"1280063","6","Papua New Guinea","Scotland","male","2021/22","2021/10/08","ICC Academy, Dubai","Dubai","Papua New Guinea","bat","HG Munsey","Akbar Ali","Shiju Sam",NA,"WC Labrooy","Scotland",NA,"8",NA,NA,"Aasif Iqbal","Papua New Guinea v Scotland T20I Match",NA,NA,NA,NA
"1280059","6","Namibia","Papua New Guinea","male","2021/22","2021/10/10","ICC Academy, Dubai","Dubai","Papua New Guinea","field",NA,"Aasif Iqbal","Iftikhar Ali",NA,"WC Labrooy","Namibia","14",NA,NA,NA,"Shiju Sam","Namibia v Papua New Guinea T20I Match",NA,NA,NA,NA
"1280062","6","Ireland","United Arab Emirates","male","2021/22","2021/10/10","ICC Academy, Dubai","Dubai","United Arab Emirates","field","Waseem Muhammad","Akbar Ali","A Louw",NA,"WC Labrooy","United Arab Emirates",NA,"7",NA,NA,"Aasif Iqbal","Ireland tour of United Arab Emirates","3",NA,NA,NA
"1282739","6","Denmark","Italy","male","2021/22","2021/10/15","Desert Springs Cricket Ground, Almeria","Almeria","Denmark","bat","GP Meade","HE Kearns","N Bathi",NA,"G McCrea","Italy",NA,"6",NA,NA,"DA Haggo","ICC Men's T20 World Cup Europe Region Qualifier","2",NA,NA,NA
"1283021","6","Rwanda","Ghana","male","2021/22","2021/10/16","Gahanga International Cricket Stadium. Rwanda","Kigali City","Ghana","field","SK Awiah","C Thorburn","Patric Makumbi",NA,"SA Fritz","Ghana",NA,"5",NA,NA,"IO Oyieko","ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B","1",NA,NA,NA
